ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
160,CNC freesmasin,CNC routing maschine,CNC Oberfräsmaschine f,фрезерный станок с ЧПУ,CNC jyrsinkone,"Arvuti abil juhitav, programmi (G-koode) kasutav masin freesimistöödeks",,
161,CNC puurmasin,CNC boring machine,CNC-Bohrmaschine f,сверлильный станок с компьютерном управлением,CNC porakone,"Puurmasin läbiva toimega või positsioonpink, mille puurpea(de) juhtimine toimub arvuti abil",,
162,CNC töötlemiskeskus,CNC centre,CNC Bearbeitungszentrum n,компьютеризованный обрабатывающий центр,"CNC kone,  keskusyksikkö","Arvuti abil juhitav, programmi (G-koode) kasutav mitmeagregaadiline polüfunktsionaalne masin",,
163,COSHH,Control of Substances Hazardous to Health Regulations,Kontrolle von gesundhertsgefährdenden Stoffen Regulations,инструкция использования средств вредных для здоровия,,Tervist kahjustavate ainete kasutamise juhend,,
164,dalbergia -Brasiilia,"brazilian rosewood, rio rosewood",Rio-Palisander,"дальбергия чёрная ж, бразильский палисандер м, розовое дерево Рио ср, якаранда ж",Brasilian palisanteri,Dalbergia nigra.  Puitu kasutatakse nii täispuidu kui spoonina tisleritoodete valmistamisel ja klaveritööstuses.,,
165,"Dalbergia, Palisander",Brazilian rosewood,Rio Palisander,дальбергия черная,Palisanteri,"Lehtpuu, Dalbergia nigra (Vell)Fr.All; Kood: DLNG ; NB! Prohibitied Species",,
166,"damast, damastriie",damask,Damaststoff m,камка,damasti,"Kootud ühevärviline siidi -, linane -, puuvilla -, või villane riie rikkaliku idamaise mustriga",,
167,deaeraator,degasifier,Abgaser m,дегазатор м,,Seade vedelikust gaasiliste komponentide eemaldamiseks,,
168,defibraator,defibrator,Defibrator m,дефибратор м,kuidutin,Üldnimetus seadmele puidu või puiduosakeste lagundamiseks kiududeks,,
169,defibröör ,grinder,Holzschleifer m,дефибрер м,hiomakone,"Seade, milles toimub vastu pöörlevat reljeefse pinnaga defibröörikivi surutavast puidust kiudude eraldumine",,
170,defibrööri vann ,grinder pit,Schleifertrog,ванна ж дефибрера,hionta allas,Defibröörikivi alune mahuti massi kogumiseks,,
171,defibröörikivi ,"pulpstone, grinder stone",Schleifstein m,дефибрёрный камень м,hiomakivi, Keraamilise või kvarts-tsementkoostisega abrasiivse pinnaga massiivne silindriline defibrööri tööorgan  ,,
172,defibröörikivi teritus,"burring, dressing",Schleifstein Schärfen n,насечка ж камня дефибрера,hiomakiven teroitus,Defibröörikivi pinna töötlemine puidu ihumiseks vajaliku reljeefsuse tagamiseks,,
173,defibröörpuitmass,groundwood,Holzschliff m,дефибрёрная масса ж,hioke,Defibrööris puidu puhtmehaanilise ihumise tulemusel saadav puitmass saagisega 95-98% ,,
174,deformatsioon,deformation,Deformation f,деформация,"deformaatio, muodonmuutos","Keha (või selle osa) kuju või ruumala muutus, mida põhjustab välisjõud, soojenemine , niiskusastme muutumine vm tegur",,
175,dekoratiivelement,enrichment,Dekorationsglied n,декоративный элемент м,koriste-elementti,"Kaunistav, ehis-, ilu-element",,
176,dekoratiivlaminaat,decorative laminate,Dekorationsfolie f,декоративный ламинат м,koristelaminaatti,Kaunistusliku otstarbega laminaat,,
177,dekoratiivpinnakate,decorative coating,Dekorationsdeckung f,декоративное покрытие ср,koristepinnoitus,Kaunistusliku otstarbega pinnakate,,
178,dekoratiivspoon,decorative veneer,Dekorfurnier n,декоративный шпон,"koristeviilu, pintaviilu",Kaunistusliku otstarbega spoon,,
179,dekoratiivvineer,decorative plywood,Dekorsperrholz n,декоративная фанера,sisustusvaneri,Valitud spooniga kaetud vineer,,
180,delignifitseerimine,delignification,Delignifizierung f,делигнификация ж,delignifiointi,Puidust või puiduosakestest ligniini eemaldamine,,
181,deltapuit,deltawood,Deltaholz n,дельтадревесина ж,deltapuu,Lignofool (puitkihtplast),,
182,dermatiin,fabricoid,Dermatin n,дерматин,keinonahka,"Tehisnahk, mis saadakse aluskanga tööstuslikul katmisel tselluloosnitraadiga",,
183,desintegraator,"desintegrator, chip crusher",Desintegrator m,дезинтегратор м,"desintegraattori, lastuaja","Löökveski mitteabrasiivsete materjalide peenestamiseks, mille tööorganiks on kontsentrilised vastassuunas pöörlevad elemendid",,
184,detail,"part, component, element","Einzelteil n, Teil n, Werkstück n",деталь,työkappale ,"Toote üksikosa, mis on valmistatud terviklikust materjalitükist (koostamiseta)",,
185,"detaili seotud mõõtmed, kaasmõõtmed",mating dimensions,Anschlußmaße pl,сопрягаемые (сопряженные) размеры детали,nimellismitta,"Toote seotisse astuvad mõõtmed, millele lubatavad hälbed määravad ära istu iseloomu",,
186,detaili vabad mõõtmed,A.T,Freimaße n,свободные/несопрягаемые размеры детали,tosimitta,Toote mitteseostuvad mõõtmed,,
187,detailjoonis,detail drawning ,"Detailzeichnung f, Einzelteilzeichnung f",чертёж м детали,,"Dokument, mis sisaldab detaili kujutise jm andmed tema valmistamiseks",,
188,diagonaalkoost,reverse diamond matching,Kreuzfuge verkehrte f,набор м „в конверт”,,"Spooni liitmisviis, kus spoonilehed on lõigatud sellise nurga all, et nende kokkusobitamisel saadakse X-kujuline muster",,
189,diagonaalliide ,diamond matching,"Schrägfuge f, Schrägverbindung f, Schrägschnitt m ",диагональный шов,vinoneliökuvio,Spoonisärgi koostamisviis,,
190,diagonaalliistud,cross-bracing,Diagonalleisten pl,рейки для измерения диагонала,"poikittaisjäykiste, poikittaislista, ",Liistupaar konstruktsioonide täisnurksuse kontrollimiseks diagonaalide pikkuse võrdlemise teel,,
191,dielektriline niiskusmõõtur,dielectric moisture meter,dielektrische  Feuchtemesser m,диэлектрический влагомер ,,Puidu dielektrilise konstandi või dielektrilise kaoteguri mõõtmisel põhinev niiskusmõõtur.,,
192,difusioonimmutus,"diffusion impregnation, diffusion treatment","Diffusionsimprägnierung f, Diffusionstränkung f",дифузионная пропитка ж,diffuusiokyllästys,"Immutusmeetod, mis põhinebimmutusaine tungimisel puitu difusiooni teel",,
193,difusioonimmutus,diffusion impregnation,Diffusionstränkung f,диффузионная пропитка ж,diffuusiokyllästys,"Immutusmeetod, mis põhineb immuti aktiivkomponentide tungimisel kõrge niiskusega puitu difusiooni teel",,
194,difusioonpesu,diffusion washing,Diffusionswäsche f,диффузионная промывка ж,diffuusiopesu,"Tselluloosi pesumeetod, kus saasteainete eemaldumine toimub peamiselt difusiooni teel",,
195,difusöör,diffuser,Diffusionswaschanlage f,диффузор м,diffusööripesuri,"Vertikaalne silindriline tselluloosi pesuseade, milles pesuprotsess toimub pesuvedeliku filtreerumisega läbi mahutis paikneva  tselluloosikihi",,
196,digitaliseerimislaud,digitizing table,,,digitalisointipöytä,Digitaalaluslaud lõigete sisestamiseks arvutisse,,
197,diivan,"couch, sofa",Diwan m,диван ,sohva,Polsterdatud lahtiste patjadega või seljatoega mööbliese.,,
198,diivan,"couch, sofa",Diwan m,диван м,sohva,Polsterdatud lahtiste patjadega või seljatoega mööbliese.,,
199,diivanilaud,"coffee table, sofa table, end table",Sofatisch m,стол преддиванный,sohvapöytä,Puhkenurgas kasutatav madal laud,,
200,diivaniosade ühendushaak,,Verbindunshaken m,зацепка соединительная,,Detail diivani üksikosade omavaheliseks jäigaks kinnitamiseks ,,
201,diivanvoodi,"sofa-bed, articulated bed, bed-settee",Schlafsofa n., Sofabett,диван-кровать,vuodesohva,Väljatõmmatava istme ja allalastava  seljatoega magamisdiivan.,
202,diivanvoodi,"sofa-bed, articulated bed, bed-settee",Schlafsofa n., Sofabett,диван-кровать,vuodesohva,Väljatõmmatava istme ja allalastava  seljatoega magamisdiivan.,
203,dimeerne rasvhape ,dimeric fatty acid,dimer Fettsäure f,димерная жирная кислота,dimeeri rasvahappo,katalüütiliselt töödeldud viskoosne taimeõli,,
204,dioksiinid,dioxins,Dioxinen pl,диоксины мн,,Klooriühenditega pleegitamisel moodustuvate toksiliste kloororgaaniliste ühendite rühm,,
205,dispersioonvärv,dispersion paint,Dispersionsfarbe f,дисперсионная краска ж,dispersiomaali,"Kahefaasiline pinnakattematerjal, milles värv on dispergeeritud (peamiselt) vees",,
206,distomeeter,distometer,Distometer n,дистометер,,"Riist puidutöötluspinkide, peamiselt freespingi seadistamiseks",,
207,dosaator,proportioner,Dosierapparat m,дозирующее устройство ср,annostelija,Seade etteantud koguse kiumassi või lisandite suunamiseks tehnoloogilisse protsessi,,
208,doseerimispunker,metering bin,"Dosierbunker f, Dosierbehälter f",дозировочный бункер м,"mittasiilo, annostelusiilo",Punker ettenähtud materjalikoguse regulaarseks väljastamiseks,,
209,džuutriie,jute fabric,Jute f,ткань ж джутовая,,"Džuutkiust riie, mida kasutatakse pakkematerjalina, kottide valmistamiseks ja mööblitööstuses?",,
210,"DUX-vedrud,  Isoleeeritud püstvedrud",pocket springs,,пружины в парусиновых руковах,säkkijousi," Üksikvedrud, mis on  õmmeldud ühekaupa kiudriidest kotikestesse ühtseks plokiks.",,
211,dünaamiline balansseerimine,dynamic balancing,"dynamisches Wuchten n, dynamisches Auswuchten n",динамическая балансировка,dynaaminen tasapainotus,Suure teljesuunalise mõõtmega võllide ja lõikeriistade tasakaalustamise meetod eriseadmes,,
212,düüs,nozzle,Düse f,сопло ср,"suutin, suulake",Viimistlusmaterjali pihustusotsik,,
213,düüspuhumiga kuivati,jet tube dryer,Düsentrockner m,сушилка ж с сопловым дутьём,suihkuputki kuivain,"Spooni kuivati, milles kuivatusagens suuunatakse suure kiirusega läbi düüside spooni pinnale",,
214,ebatsuuga - harilik,"Douglas fir, ",?,"джетсуга мензиза, дугласия ж",douglaskuusi,Pseudotsuga menziesii. Kaubanduslikud nimetused Douglas Fir ja Oregon pine.  Puitu kasutatakse vineeri ja saematerjali tootmiseks ning ehituskonstruktsioonides.,,
215,ebaühtlane tekstuur,plum figure,unregelmäßige Textur f,неоднородная текстура ж,vaihteleva kuviointi,"Tekstuur, mille puhul toote esipinna komplekteerimine raskendatud",,
216,Ebiara,Berlinia,Ebiara,берлиния,,"Lehtpuu,  Berlinia bracteosa ; Kood: BEXX;",,
217,eebenidiospüür,black eboni,Ebenholz n,эбеновое дерево ср,eebenpuu,"Diospyros ebenum. Puitu kasutatakse tisleritoodete valmistamisel, toorainana vineeritööstuses, klaveritööstuses. ",,
218,Eebenidiospüür,Sri Lanka ebony,Ceylon ebenholz,нстнннов эбеновое дерево,"Eebenpuu, eebeniholtsi","Lehtpuu, Diospyros ebenum Koen.; Kood: DSEB.",,
219,eelhüdrolüüs,prehydrolysis,Vorhydrolyse f,предгидролиз м,esihydrolyysi,Puidu hemitsellulooside lahustamiseks kasutatav keeduprotsessi algstaadium keemiatselluloosi tehnoloogias,,
220,"eelkooste, sõlmede kooste",preliminary assembly?,Vormontage f,предварительная сборка,esiasennus,Toote üksuste (sõlmede) ettevalmistamine põhikoosteks,,
221,eelpress,prepress,Vorpresse f,пресс м для подпрессовки,esipuristin,"Press, milles tihendatakse pressitavat materjali kuum- või külmpressi suunamiseks",,
222,eeltoonitud pind,colour-covered surface,vortönte Oberfläche f,окрашенная поверхность ж,esivärjätty pinta,Värvainega või peitsiga enne lakkimist toonitud pind,,
223,eeltöötlus,pretreatment,"Vorbearbeitung f, Vorbehandlung f",предварительная обработка,esikäsittely,"Töötlemisviis, mille tulemuseks on suhteliselt väikese täpsusega mõõtmetega toorik, pinna ettevalmistamine baseerimiseks",,
224,eeltöötlushöövelpink,presurfacer,Vorhobelmaschine f,предварительный строганный станок,esikäsittelyhöylä,Höövelmasin saematerjalide pinna freesimiseks enne profiiltöötlemist,,
225,eemaldatav viimistluskiht,strippable coating,entferntbare Veredlungsdecklage f,удаляемое покрытие  ср,"poistettavissa oleva pinnoite, väliaikeinen suojapinnoite, irrokepinnoite","Viimistluskelme, mida on võimalik eemaldada",,
226,eend,salient,Vorsprung m,выступ м,uloke,Toote kontuurist (pinnast) väljaulatuv (nt ehislik) osa,,
227,eerung,miter ,Gehrung f,ус,hiippa,"Üldnimetus lõike kohta mille pind on risti detaili küljega, kuid serva suhtes kaldu",,
228,eerungi hööveldamise plokk,mitre shooting block,"Gehrungsstoßlade f, Gehrungsvorrichtung f, Gehrungshobelnblock m",блок строгания на ус,kulmauskouru,Rakis 45-kraadise nurga all hööveldamiseks,,
229,eerungiga (läbiv) kalasabatapp,mitered through dovetail joint,auf Gehrung offene Zinken pl,"шип ""ласточкин хвост"" открытий на ус",lohenpyrstöliitos,Eerungisse lõigatud detailide seotis läbivate kalasabatappidega,,
230,eerungiga peitkalasabatapp,mitered dovetail joint,auf Gehrung verdecte Zinken pl,"шип ""ласточкин хвост"" потайный на ус",salasinkkaliitos,Eerungisse lõigatud detailide seotis peitkalasabatappidega,,
231,"eerungikast, eerungikarp, lõikekast, ",miter/mitre box,"Gehrungslade f, Gehrungsschneidlade f","стусло, ящик яруночный","jiirilaatikko, kulmasahauslaatikko",Puidust vm materjalist U-kujulise ristlõikega rakis puitmaterjali saagimiseks kindlate nurkade all,,
232,"eerungisaag, miiusaag","miter saw, mitre saw, drop saw",Kapp- und Gehrungsäge f,"усорезный станок, усовочная пила",jiirisaha,"Ristisaagimise masin, millel on saeketta taspinna nurk juhtjoonlaua ja (või) horisontaaltasapinna suhtes on muudetav",,
233,eerungitugi ,mitre block,"Gehr[ungs]maß n, Gehr[ungs]maßbrett n",распиловочный ящик (штосладе),jiirilaatikko,L-kujuline rakis saagimiseks kindla nurga all,,
234,"eerungnurgik, tiidusnurgik",mitre square,Gehr[ungs]maß n,ерунок,"jiiri, viistekulmakko",Vahend 45- ja 135-kraadiste nurkade märkimiseks ja kontrollimiseks,,
235,eerungseotis,mitred joint,"Gehrung f, Gehrungsverbindung f, Gehrungsstoß m",соединение на ус,jiiriliitos,Eerungiga nurkseotis,,
236,eestvaade,front view,Forderansicht f,вид спереди,pääprojektio,Eseme joonis eestpoolt vaadelduna,,
237,efektiivleelis,effective alkali,effektives Alkali,эффективная щелочь ж,tehollinen alkali,Sulfaatkeedu keemilistes reaktsioonides osalevad keeduleelise aktiivsed komponendid NaOH + 1/2Na2S,,
